Depth,Config,ConfigLabel,ScaleGroup,Mean_Test Acc,Std_Test Acc,Mean_Test Macro-F1,Std_Test Macro-F1
L6,Early_L1_2,Early-scale fusion (L1–L2),Early,0.8934999823570251,0.0152748167190912,0.8910948175405823,0.0159258573356404
L6,Middle_L3_4,Intermediate-scale fusion (L3–L4),Intermediate,0.8699999928474427,0.0239343172222154,0.8660651666953243,0.025844721801615
L6,Coarse_L5_6,Coarse-scale fusion (L5–L6),Coarse,0.9027500033378602,0.0177306173477719,0.9004775895613486,0.0184118225796559
L6,Full_L1_6,Full-scale fusion (L1–L6),Full,0.8815000057220459,0.018085090308421,0.8782638421409203,0.0191645484364766
L7,Early_L1_2,Early-scale fusion (L1–L2),Early,0.8962499499320984,0.0154869062826037,0.8940359354019165,0.016177948564291
L7,Middle_L3_5,Intermediate-scale fusion (L3–L5),Intermediate,0.8948750495910645,0.0113399196416139,0.8922049403190613,0.0118033122271299
L7,Coarse_L6_7,Coarse-scale fusion (L6–L7),Coarse,0.7106250524520874,0.0111453579738736,0.6856841444969177,0.0096037276089191
L7,Full_L1_7,Full-scale fusion (L1–L7),Full,0.8880000114440918,0.0453811883926391,0.8851302266120911,0.0475718714296817
L8,Fine_L1_2,Early-scale fusion (L1–L2),Early,0.8631249666213989,0.029265085235238,0.858166515827179,0.0318615920841693
L8,Mid_L3_5,Intermediate-scale fusion (L3–L5),Intermediate,0.8434999585151672,0.0214949063956737,0.8376914858818054,0.0237752944231033
L8,Coarse_L6_8,Coarse-scale fusion (L6–L8),Coarse,0.6816250085830688,0.0164328664541244,0.6493724584579468,0.0167045779526233
L8,All_L1_8,Full-scale fusion (L1–L8),Full,0.8639999628067017,0.0253051649779081,0.858916163444519,0.0276053994894027
