Depth,Config,ConfigLabel,ScaleGroup,Mean_Test Acc,Std_Test Acc,Mean_Test Macro-F1,Std_Test Macro-F1
L6,Early_L1_2,Early-scale fusion (L1–L2),Early,0.9550748586654664,0.0128346471204369,0.955071889819618,0.0128365790299207
L6,Middle_L3_4,Intermediate-scale fusion (L3–L4),Intermediate,0.9374376058578492,0.0393326958450119,0.9374097411789832,0.0393749187672927
L6,Coarse_L5_6,Coarse-scale fusion (L5–L6),Coarse,0.9480865001678468,0.0329518168619886,0.9480712218241634,0.0329814351878321
L6,Full_L1_6,Full-scale fusion (L1–L6),Full,0.9594009757041932,0.0208352301030804,0.959380331202647,0.0208690562564427
L7,Early_L1_2,Early-scale fusion (L1–L2),Early,0.9580698013305664,0.0149009162560105,0.9580631256103516,0.0149042876437306
L7,Middle_L3_5,Intermediate-scale fusion (L3–L5),Intermediate,0.9747087359428406,0.0061586410738527,0.9747061729431152,0.0061590024270117
L7,Coarse_L6_7,Coarse-scale fusion (L6–L7),Coarse,0.9447587132453918,0.0154929934069514,0.9446884393692015,0.0155428741127252
L7,Full_L1_7,Full-scale fusion (L1–L7),Full,0.9633943438529968,0.0082358578220009,0.9633909463882446,0.0082384264096617
L8,Fine_L1_2,Early-scale fusion (L1–L2),Early,0.8725457191467285,0.0625411495566368,0.8720428347587585,0.0635425001382827
L8,Mid_L3_5,Intermediate-scale fusion (L3–L5),Intermediate,0.9580698013305664,0.0062700374983251,0.9580546617507936,0.0062734601087868
L8,Coarse_L6_8,Coarse-scale fusion (L6–L8),Coarse,0.9430948495864868,0.008516795001924,0.943038284778595,0.0085368594154715
L8,All_L1_8,Full-scale fusion (L1–L8),Full,0.9444259405136108,0.0115637546405196,0.9444062113761902,0.0115803815424442
