Dataset,Depth,Config,Label,Test Accuracy Mean,Test Accuracy Std,Test Macro-F1 Mean,Test Macro-F1 Std
Brain Tumor MRI,L6,LH_only,LH,0.859250009059906,0.044234825996387804,0.8543217478201889,0.04712023055790597
Brain Tumor MRI,L6,HL_only,HL,0.8721250057220459,0.02511536322535492,0.8684720850275685,0.026837599930294106
Brain Tumor MRI,L6,HH_only,HH,0.7350000023841858,0.05415723980584233,0.6958436579549911,0.07551039617579654
Brain Tumor MRI,L6,LH_HL,LH+HL,0.8862500071525574,0.03693586402020159,0.8827960583589629,0.038531476779311985
Brain Tumor MRI,L6,LH_HH,LH+HH,0.8182500123977661,0.012114371327275346,0.8098786029390558,0.013365862205634566
Brain Tumor MRI,L6,HL_HH,HL+HH,0.8486249923706055,0.04095873494350606,0.8416458912433347,0.04705484970236561
Brain Tumor MRI,L6,LH_HL_HH,LH+HL+HH,0.872124993801117,0.03422579870828753,0.8679481610759762,0.03676633481406327
Brain Tumor MRI,L7,LH_only,LH,0.8856249928474427,0.03087273387035555,0.88239625924073,0.033197956417659734
Brain Tumor MRI,L7,HL_only,HL,0.8857500076293945,0.01924044906486766,0.8827512514447342,0.020720536074872085
Brain Tumor MRI,L7,HH_only,HH,0.712374997138977,0.05760588025754549,0.6833705448839995,0.06777074622775894
Brain Tumor MRI,L7,LH_HL,LH+HL,0.8964999914169312,0.021562953968386235,0.8937184662708659,0.022736650794159718
Brain Tumor MRI,L7,LH_HH,LH+HH,0.8778749942779541,0.04003562232893058,0.873853532397305,0.04283711481308176
Brain Tumor MRI,L7,HL_HH,HL+HH,0.8962499976158143,0.020102298912126143,0.893563613809272,0.021092088650865225
Brain Tumor MRI,L7,LH_HL_HH,LH+HL+HH,0.9110000014305115,0.0075725684785588575,0.9093045874506295,0.007845658232739819
Brain Tumor MRI,L8,LH_only,LH,0.862624990940094,0.0336032547190984,0.8572088539792689,0.03689290631512399
Brain Tumor MRI,L8,HL_only,HL,0.8701249957084656,0.028488627121634236,0.8663888162898348,0.030166377408636133
Brain Tumor MRI,L8,HH_only,HH,0.6928750038146972,0.047575200814712754,0.6365365397061039,0.06879050612787438
Brain Tumor MRI,L8,LH_HL,LH+HL,0.8536249995231628,0.03918953904257417,0.8471190721220163,0.045173733269585015
Brain Tumor MRI,L8,LH_HH,LH+HH,0.8347500085830688,0.04295164390784545,0.8248320340954892,0.05177590621171426
Brain Tumor MRI,L8,HL_HH,HL+HH,0.8426250100135804,0.02292735569485118,0.8362208534835153,0.02555439168956745
Brain Tumor MRI,L8,LH_HL_HH,LH+HL+HH,0.8608750104904175,0.023920444556636174,0.8563955771233793,0.02586267153485909
Br35H,L6,LH_only,LH,0.9554076433181763,0.014854380321787574,0.955405864624358,0.014855626870565504
Br35H,L6,HL_only,HL,0.9460898399353027,0.042561217047603676,0.9459118823614979,0.042922065840000405
Br35H,L6,HH_only,HH,0.9450914978981018,0.016763263608115305,0.9450729259822379,0.016786954503140064
Br35H,L6,LH_HL,LH+HL,0.9460898399353027,0.039804992057555305,0.9460891316027464,0.03980523949695186
Br35H,L6,LH_HH,LH+HH,0.9477537274360657,0.014148000346637178,0.9477470567547405,0.014147936352538028
Br35H,L6,HL_HH,HL+HH,0.959400987625122,0.012147552885884504,0.9593974617652412,0.012149212618267647
Br35H,L6,LH_HL_HH,LH+HL+HH,0.9597337722778321,0.01394101600224336,0.9597259145521286,0.013944627183559516
Br35H,L7,LH_only,LH,0.9637271046638489,0.021992364181165274,0.9637245377047734,0.02199429197304682
Br35H,L7,HL_only,HL,0.9760399222373962,0.005593254737062735,0.9760385476109175,0.005593518171196809
Br35H,L7,HH_only,HH,0.9377703666687012,0.030102216499322425,0.937757588983982,0.030109587296801275
Br35H,L7,LH_HL,LH+HL,0.9683859944343567,0.008804496613028465,0.9683802818030944,0.008806204080295378
Br35H,L7,LH_HH,LH+HH,0.962728762626648,0.011975404305509835,0.962720245051333,0.011986207525341417
Br35H,L7,HL_HH,HL+HH,0.9650582313537598,0.011161745545206032,0.9650558811435271,0.011162250143105039
Br35H,L7,LH_HL_HH,LH+HL+HH,0.962728762626648,0.01349704360636707,0.962723270468149,0.013500139731211565
Br35H,L8,LH_only,LH,0.9484192848205566,0.010457415361904232,0.9483987004217578,0.01046828711507292
Br35H,L8,HL_only,HL,0.9630615472793579,0.011730160645199402,0.9630483275768368,0.01174201858431097
Br35H,L8,HH_only,HH,0.9058236122131348,0.02632423709982955,0.9056744571787914,0.026418780066887117
Br35H,L8,LH_HL,LH+HL,0.9537437438964844,0.00965917123871762,0.9537379275040528,0.009662678830838704
Br35H,L8,LH_HH,LH+HH,0.9374375820159913,0.023578013415103665,0.9373803328434892,0.023591983098589314
Br35H,L8,HL_HH,HL+HH,0.9424292802810669,0.008613757693970112,0.9424205576770124,0.008616680961451934
Br35H,L8,LH_HL_HH,LH+HL+HH,0.9504159569740296,0.009659176372478586,0.9504056712995359,0.009666667273146587
