Config,Metric,Mean,Std
Fine_L1_2,Val Loss,0.5128790140151978,0.0605754591524601
Fine_L1_2,Val Acc,0.9235714673995972,0.031202765181660652
Fine_L1_2,Val Macro-F1,0.9203041195869446,0.03427163138985634
Fine_L1_2,Test Loss,0.6742618680000305,0.05511782690882683
Fine_L1_2,Test Acc,0.8631249666213989,0.029265085235238075
Fine_L1_2,Test Macro-F1,0.858166515827179,0.03186159208416939
Mid_L3_5,Val Loss,0.5172785520553589,0.03266420587897301
Mid_L3_5,Val Acc,0.9083927869796753,0.017919516190886497
Mid_L3_5,Val Macro-F1,0.9057012796401978,0.018278762698173523
Mid_L3_5,Test Loss,0.6770541071891785,0.025796715170145035
Mid_L3_5,Test Acc,0.8434999585151672,0.021494906395673752
Mid_L3_5,Test Macro-F1,0.8376914858818054,0.023775294423103333
Coarse_L6_8,Val Loss,0.7734197378158569,0.008358471095561981
Coarse_L6_8,Val Acc,0.7475000023841858,0.01344335451722145
Coarse_L6_8,Val Macro-F1,0.727408766746521,0.015953507274389267
Coarse_L6_8,Test Loss,0.9042667150497437,0.026084858924150467
Coarse_L6_8,Test Acc,0.6816250085830688,0.01643286645412445
Coarse_L6_8,Test Macro-F1,0.6493724584579468,0.016704577952623367
All_L1_8,Val Loss,0.5266085863113403,0.04686504229903221
All_L1_8,Val Acc,0.9299999475479126,0.02540016360580921
All_L1_8,Val Macro-F1,0.9280071258544922,0.027497652918100357
All_L1_8,Test Loss,0.7077569365501404,0.05307842418551445
All_L1_8,Test Acc,0.8639999628067017,0.025305164977908134
All_L1_8,Test Macro-F1,0.858916163444519,0.02760539948940277
