Config,Metric,Mean,Std
Coarse_L5_6,Val Loss,0.4534811615943909,0.030339060986667374
Coarse_L5_6,Val Acc,0.9505357027053833,0.013297271773101978
Coarse_L5_6,Val Macro-F1,0.9492482796615587,0.014046333179996555
Coarse_L5_6,Test Loss,0.6054484486579895,0.02974656774289606
Coarse_L5_6,Test Acc,0.9027500033378602,0.017730617347771958
Coarse_L5_6,Test Macro-F1,0.9004775895613486,0.01841182257965593
Early_L1_2,Val Loss,0.46615588665008545,0.028052441312394243
Early_L1_2,Val Acc,0.9424999952316284,0.009052696685656855
Early_L1_2,Val Macro-F1,0.9410991953761932,0.009679469017981985
Early_L1_2,Test Loss,0.616133713722229,0.03125625803138562
Early_L1_2,Test Acc,0.8934999823570251,0.015274816719091292
Early_L1_2,Test Macro-F1,0.8910948175405823,0.01592585733564048
Full_L1_6,Val Loss,0.4896985709667206,0.02170271767305158
Full_L1_6,Val Acc,0.9330357193946839,0.009801111633883638
Full_L1_6,Val Macro-F1,0.9305355981618911,0.011552999619866057
Full_L1_6,Test Loss,0.6538649559020996,0.041589736461488204
Full_L1_6,Test Acc,0.8815000057220459,0.01808509030842101
Full_L1_6,Test Macro-F1,0.8782638421409203,0.0191645484364766
Middle_L3_4,Val Loss,0.5075126767158509,0.042767168649775325
Middle_L3_4,Val Acc,0.9294642925262451,0.01797948944104029
Middle_L3_4,Val Macro-F1,0.9278155346409468,0.01802905794138366
Middle_L3_4,Test Loss,0.663387131690979,0.03893203972577278
Middle_L3_4,Test Acc,0.8699999928474427,0.023934317222215416
Middle_L3_4,Test Macro-F1,0.8660651666953243,0.025844721801615046
