Config,Metric,Mean,Std
Early_L1_2,Val Loss,0.4449394643306732,0.0234028622508049
Early_L1_2,Val Acc,0.9521428346633911,0.012541385367512703
Early_L1_2,Val Macro-F1,0.9511039853096008,0.012887842953205109
Early_L1_2,Test Loss,0.6114341020584106,0.03099072352051735
Early_L1_2,Test Acc,0.8962499499320984,0.01548690628260374
Early_L1_2,Test Macro-F1,0.8940359354019165,0.016177948564291
Middle_L3_5,Val Loss,0.4283238351345062,0.01515473797917366
Middle_L3_5,Val Acc,0.9501786231994629,0.0064508491195738316
Middle_L3_5,Val Macro-F1,0.9492877721786499,0.006714288145303726
Middle_L3_5,Test Loss,0.5862204432487488,0.020306041464209557
Middle_L3_5,Test Acc,0.8948750495910645,0.01133991964161396
Middle_L3_5,Test Macro-F1,0.8922049403190613,0.011803312227129936
Coarse_L6_7,Val Loss,0.7230179905891418,0.013821203261613846
Coarse_L6_7,Val Acc,0.7753571271896362,0.01498828548938036
Coarse_L6_7,Val Macro-F1,0.7594690918922424,0.015443731099367142
Coarse_L6_7,Test Loss,0.8563922643661499,0.013720261864364147
Coarse_L6_7,Test Acc,0.7106250524520874,0.011145357973873615
Coarse_L6_7,Test Macro-F1,0.6856841444969177,0.009603727608919144
Full_L1_7,Val Loss,0.4857513904571533,0.06622889637947083
Full_L1_7,Val Acc,0.9458929300308228,0.029087157920002937
Full_L1_7,Val Macro-F1,0.9448689222335815,0.02970130182802677
Full_L1_7,Test Loss,0.653485119342804,0.08774802833795547
Full_L1_7,Test Acc,0.8880000114440918,0.04538118839263916
Full_L1_7,Test Macro-F1,0.8851302266120911,0.04757187142968178
