Config,Metric,Mean,Std
Early_L1_2,Val Loss,0.3257201611995697,0.025593416765332222
Early_L1_2,Val Acc,0.9592515826225281,0.013680407777428627
Early_L1_2,Val Macro-F1,0.959247887134552,0.013680613599717617
Early_L1_2,Test Loss,0.333862841129303,0.034038010984659195
Early_L1_2,Test Acc,0.9580698013305664,0.014900916256010532
Early_L1_2,Test Macro-F1,0.9580631256103516,0.01490428764373064
Middle_L3_5,Val Loss,0.2626109719276428,0.016357479616999626
Middle_L3_5,Val Acc,0.9800416231155396,0.006988660432398319
Middle_L3_5,Val Macro-F1,0.9800413846969604,0.006988645065575838
Middle_L3_5,Test Loss,0.2739488482475281,0.01070143561810255
Middle_L3_5,Test Acc,0.9747087359428406,0.0061586410738527775
Middle_L3_5,Test Macro-F1,0.9747061729431152,0.006159002427011728
Coarse_L6_7,Val Loss,0.28885823488235474,0.02829943783581257
Coarse_L6_7,Val Acc,0.9351350665092468,0.021323690190911293
Coarse_L6_7,Val Macro-F1,0.9350413084030151,0.02146153897047043
Coarse_L6_7,Test Loss,0.28742116689682007,0.022970309481024742
Coarse_L6_7,Test Acc,0.9447587132453918,0.015492993406951427
Coarse_L6_7,Test Macro-F1,0.9446884393692017,0.015542874112725258
Full_L1_7,Val Loss,0.34239253401756287,0.03225712850689888
Full_L1_7,Val Acc,0.9663201570510864,0.01592847891151905
Full_L1_7,Val Macro-F1,0.966315746307373,0.01593325287103653
Full_L1_7,Test Loss,0.34726420044898987,0.022586986422538757
Full_L1_7,Test Acc,0.9633943438529968,0.00823585782200098
Full_L1_7,Test Macro-F1,0.9633909463882446,0.00823842640966177
