Ablation,Config,SelectedLevels,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE,Num Classes
A2_scale_br35h,All_L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",42,42,0.3646937906742096,0.9542619585990906,0.9542459356624006,0.3881016969680786,0.9484192728996277,0.9484187299451545,152.12182807922363,5.063481116294861,379.1857727722575,308582,multilevel_details,2
A2_scale_br35h,All_L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",43,43,0.3796195089817047,0.952182948589325,0.9521299842063131,0.36399775743484497,0.9584026336669922,0.9583952904299476,146.3540780544281,4.871888995170593,394.0976491671419,308582,multilevel_details,2
A2_scale_br35h,All_L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",44,44,0.35544976592063904,0.952182948589325,0.9521829521829522,0.36695224046707153,0.9500831961631775,0.950066467264872,145.43095231056213,4.840759038925171,396.63201257510053,308582,multilevel_details,2
A2_scale_br35h,All_L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",45,45,0.4264351427555084,0.9293139576911926,0.9292989555232759,0.41031771898269653,0.9351081252098083,0.9350901825251108,145.25187420845032,4.834672665596008,397.1313329365405,308582,multilevel_details,2
A2_scale_br35h,All_L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",46,46,0.4046398997306824,0.9417879581451416,0.9417816509319777,0.41951727867126465,0.9301164746284485,0.9300605133661392,148.59944653511047,4.946218450864156,388.17533416150593,308582,multilevel_details,2
A2_scale_br35h,Coarse_L6_8,"[6, 7, 8]",42,42,0.2836189568042755,0.9480249285697937,0.9480105665010787,0.29547619819641113,0.9500831961631775,0.9500432238329566,152.99867725372314,5.09289026260376,376.99614580314807,308582,multilevel_details,2
A2_scale_br35h,Coarse_L6_8,"[6, 7, 8]",43,43,0.3433600962162018,0.8939709067344666,0.8934995246095938,0.3124793469905853,0.941763699054718,0.9416370481969496,146.8892903327942,4.8892389615376795,392.6991532023942,308582,multilevel_details,2
A2_scale_br35h,Coarse_L6_8,"[6, 7, 8]",44,44,0.33237510919570923,0.9147608876228333,0.9146664935851669,0.3350061774253845,0.9367720484733582,0.9366793097329429,150.46368837356567,5.007339255015055,383.43717136342246,308582,multilevel_details,2
A2_scale_br35h,Coarse_L6_8,"[6, 7, 8]",45,45,0.28191739320755005,0.9542619585990906,0.9542617565698479,0.2761944830417633,0.9534109830856323,0.953409820815522,150.00342178344727,4.992499613761902,384.576895050225,308582,multilevel_details,2
A2_scale_br35h,Coarse_L6_8,"[6, 7, 8]",46,46,0.3008660674095154,0.9376299381256104,0.9376275113247345,0.3311938941478729,0.9334442615509033,0.9334219563531627,151.86531043052673,5.0553477048873905,379.79583444750784,308582,multilevel_details,2
A2_scale_br35h,Fine_L1_2,"[1, 2]",42,42,0.3702707886695862,0.9313929080963135,0.9313739477814238,0.39489883184432983,0.9184691905975342,0.9184367011302925,153.84171962738037,5.120872537295024,374.93610434877047,308582,multilevel_details,2
A2_scale_br35h,Fine_L1_2,"[1, 2]",43,43,0.6564585566520691,0.7463617324829102,0.743244425776191,0.6407076120376587,0.7653909921646118,0.763029186159994,92.62787008285522,5.44008744464201,352.9355032502326,308582,multilevel_details,2
A2_scale_br35h,Fine_L1_2,"[1, 2]",44,44,0.4579199254512787,0.885654866695404,0.8854568520226358,0.4229058623313904,0.9118136167526245,0.9118048537372115,146.95695900917053,4.891919040679932,392.4840096562877,308582,multilevel_details,2
A2_scale_br35h,Fine_L1_2,"[1, 2]",45,45,0.4696703255176544,0.8731808662414551,0.8731018912969202,0.4703177809715271,0.8951746821403503,0.8951329014532332,152.99422645568848,5.092583727836609,377.01883810080017,308582,multilevel_details,2
A2_scale_br35h,Fine_L1_2,"[1, 2]",46,46,0.45566505193710327,0.8898128867149353,0.8897442662087995,0.4912561774253845,0.8718801736831665,0.8718106397418318,145.4219524860382,4.840832686424255,396.62597829181186,308582,multilevel_details,2
A2_scale_br35h,Mid_L3_5,"[3, 4, 5]",42,42,0.2905668020248413,0.9708939790725708,0.9708878052154666,0.2938249409198761,0.9633943438529968,0.9633650308108348,147.75614714622498,4.918907483418782,390.3305777699939,308582,multilevel_details,2
A2_scale_br35h,Mid_L3_5,"[3, 4, 5]",43,43,0.3008481562137604,0.9584199786186218,0.9584154649514127,0.2875104248523712,0.9650582075119019,0.9650578493176853,147.735493183136,4.916560657819113,390.5168945584968,308582,multilevel_details,2
A2_scale_br35h,Mid_L3_5,"[3, 4, 5]",44,44,0.29354268312454224,0.9708939790725708,0.9708928386182094,0.29853224754333496,0.9584026336669922,0.9583952904299476,153.65649366378784,5.114975905418396,375.36833711496195,308582,multilevel_details,2
A2_scale_br35h,Mid_L3_5,"[3, 4, 5]",45,45,0.28369906544685364,0.975051999092102,0.9750466901846856,0.32090702652931213,0.9517470598220825,0.9517128648409037,157.47248888015747,5.2419371445973715,366.27680703475386,308582,multilevel_details,2
A2_scale_br35h,Mid_L3_5,"[3, 4, 5]",46,46,0.3115045130252838,0.9563409686088562,0.9563379368475653,0.314289391040802,0.9517470598220825,0.9517422784599836,149.4489767551422,4.97548410097758,385.8920983433069,308582,multilevel_details,2
