Config,Metric,Mean,Std
Fine_L1_2,Val Loss,0.48199692368507385,0.10529079288244247
Fine_L1_2,Val Acc,0.8652806282043457,0.0699855238199234
Fine_L1_2,Val Macro-F1,0.8645843267440796,0.07128370553255081
Fine_L1_2,Test Loss,0.4840172827243805,0.09548381716012955
Fine_L1_2,Test Acc,0.8725457191467285,0.06254114955663681
Fine_L1_2,Test Macro-F1,0.8720428347587585,0.06354250013828278
Mid_L3_5,Val Loss,0.29603224992752075,0.010615559294819832
Mid_L3_5,Val Acc,0.9663201570510864,0.008367822505533695
Mid_L3_5,Val Macro-F1,0.9663161039352417,0.00836741179227829
Mid_L3_5,Test Loss,0.30301278829574585,0.014072851277887821
Mid_L3_5,Test Acc,0.9580698013305664,0.0062700374983251095
Mid_L3_5,Test Macro-F1,0.9580546617507935,0.006273460108786821
Coarse_L6_8,Val Loss,0.30842751264572144,0.028147822245955467
Coarse_L6_8,Val Acc,0.9297297596931458,0.025008585304021835
Coarse_L6_8,Val Macro-F1,0.9296131134033203,0.025188511237502098
Coarse_L6_8,Test Loss,0.3100700378417969,0.024669650942087173
Coarse_L6_8,Test Acc,0.9430948495864868,0.008516795001924038
Coarse_L6_8,Test Macro-F1,0.943038284778595,0.008536859415471554
All_L1_8,Val Loss,0.38616761565208435,0.02919883467257023
All_L1_8,Val Acc,0.9459459185600281,0.010498433373868465
All_L1_8,Val Macro-F1,0.9459279179573059,0.010493981651961803
All_L1_8,Test Loss,0.3897773325443268,0.024973740801215172
All_L1_8,Test Acc,0.9444259405136108,0.011563754640519619
All_L1_8,Test Macro-F1,0.9444062113761902,0.011580381542444229
