Config,Metric,Mean,Std
LH_only,Val Loss,0.5437367558479309,0.05494951084256172
LH_only,Val Acc,0.920535683631897,0.02994069829583168
LH_only,Val Macro-F1,0.9159906506538391,0.03622060269117355
LH_only,Test Loss,0.6977501511573792,0.07281991839408875
LH_only,Test Acc,0.8626249432563782,0.033603254705667496
LH_only,Test Macro-F1,0.8572089076042175,0.03689289838075638
HL_only,Val Loss,0.5329381823539734,0.05958491563796997
HL_only,Val Acc,0.9241070747375488,0.027213847264647484
HL_only,Val Macro-F1,0.9221256375312805,0.0281695444136858
HL_only,Test Loss,0.686578631401062,0.059687089174985886
HL_only,Test Acc,0.8701249957084656,0.028488626703619957
HL_only,Test Macro-F1,0.8663887977600098,0.030166374519467354
HH_only,Val Loss,0.8654495477676392,0.060856059193611145
HH_only,Val Acc,0.746071457862854,0.046824365854263306
HH_only,Val Macro-F1,0.694494366645813,0.07087112963199615
HH_only,Test Loss,1.0274794101715088,0.07510996609926224
HH_only,Test Acc,0.6928750276565552,0.047575198113918304
HH_only,Test Macro-F1,0.6365365386009216,0.0687905102968216
LH_HL,Val Loss,0.5508912801742554,0.0941690057516098
LH_HL,Val Acc,0.9189286231994629,0.04420500621199608
LH_HL,Val Macro-F1,0.9144223928451538,0.049593161791563034
LH_HL,Test Loss,0.7246284484863281,0.07920830696821213
LH_HL,Test Acc,0.8536249995231628,0.03918953984975815
LH_HL,Test Macro-F1,0.8471190333366394,0.045173730701208115
LH_HH,Val Loss,0.5998178124427795,0.07957273721694946
LH_HH,Val Acc,0.8966072201728821,0.03766651824116707
LH_HH,Val Macro-F1,0.8891733884811401,0.04578559100627899
LH_HH,Test Loss,0.7630832195281982,0.08209487050771713
LH_HH,Test Acc,0.8347499966621399,0.04295164346694946
LH_HH,Test Macro-F1,0.8248320817947388,0.05177588760852814
HL_HH,Val Loss,0.5585361123085022,0.04177021607756615
HL_HH,Val Acc,0.9133928418159485,0.016402829438447952
HL_HH,Val Macro-F1,0.9103622436523438,0.017330292612314224
HL_HH,Test Loss,0.7398046255111694,0.05072877183556557
HL_HH,Test Acc,0.8426250219345093,0.022927356883883476
HL_HH,Test Macro-F1,0.8362208604812622,0.025554385036230087
LH_HL_HH,Val Loss,0.5394250154495239,0.04950854927301407
LH_HL_HH,Val Acc,0.923035740852356,0.021245498210191727
LH_HL_HH,Val Macro-F1,0.9212313890457153,0.021584147587418556
LH_HL_HH,Test Loss,0.7096537351608276,0.04990975931286812
LH_HL_HH,Test Acc,0.8608749508857727,0.023920444771647453
LH_HL_HH,Test Macro-F1,0.8563955426216125,0.025862667709589005
