Config,Metric,Mean,Std
HH_only,Val Loss,0.7597084641456604,0.10340661832975993
HH_only,Val Acc,0.7833928465843201,0.06248916013292458
HH_only,Val Macro-F1,0.7458247866884069,0.08428412225504628
HH_only,Test Loss,0.9148151040077209,0.08973325330684669
HH_only,Test Acc,0.7350000023841858,0.05415723980584233
HH_only,Test Macro-F1,0.6958436579549911,0.07551039617579654
HL_HH,Val Loss,0.5485581159591675,0.05230729464316661
HL_HH,Val Acc,0.9037500023841858,0.02295876475145407
HL_HH,Val Macro-F1,0.899993458682719,0.026135532076149354
HL_HH,Test Loss,0.7145277380943298,0.07499296718054971
HL_HH,Test Acc,0.8486249923706055,0.04095873494350606
HL_HH,Test Macro-F1,0.8416458912433347,0.04705484970236561
HL_only,Val Loss,0.5066307187080383,0.04016288652509456
HL_only,Val Acc,0.9258928537368775,0.015139137587122991
HL_only,Val Macro-F1,0.9236029544714673,0.016391876284476522
HL_only,Test Loss,0.6700523495674133,0.05668814264981966
HL_only,Test Acc,0.8721250057220459,0.02511536322535492
HL_only,Test Macro-F1,0.8684720850275685,0.026837599930294106
LH_HH,Val Loss,0.5811552286148072,0.014715940571009204
LH_HH,Val Acc,0.8910714268684388,0.010238699986441753
LH_HH,Val Macro-F1,0.8871504802391497,0.010850901840044981
LH_HH,Test Loss,0.7667227625846863,0.033736731126262916
LH_HH,Test Acc,0.8182500123977661,0.012114371327275346
LH_HH,Test Macro-F1,0.8098786029390558,0.013365862205634566
LH_HL,Val Loss,0.4727856874465942,0.0533186006554397
LH_HL,Val Acc,0.9401785731315613,0.022702109565747898
LH_HL,Val Macro-F1,0.9393071458294637,0.023163445814837605
LH_HL,Test Loss,0.6412661910057068,0.06012668789125089
LH_HL,Test Acc,0.8862500071525574,0.03693586402020157
LH_HL,Test Macro-F1,0.8827960583589629,0.038531476779312034
LH_HL_HH,Val Loss,0.5083699941635131,0.04900153724125976
LH_HL_HH,Val Acc,0.9233928680419922,0.020838230781953338
LH_HL_HH,Val Macro-F1,0.9209594869958936,0.02287197789905983
LH_HL_HH,Test Loss,0.6749806642532349,0.05640098507483136
LH_HL_HH,Test Acc,0.872124993801117,0.03422579870828756
LH_HL_HH,Test Macro-F1,0.8679481610759762,0.03676633481406327
LH_only,Val Loss,0.5115229249000549,0.07377050074597535
LH_only,Val Acc,0.9232142806053162,0.034655052030978
LH_only,Val Macro-F1,0.920164277358533,0.037067881554242295
LH_only,Test Loss,0.6910589814186097,0.08843540345598623
LH_only,Test Acc,0.859250009059906,0.04423482599638783
LH_only,Test Macro-F1,0.8543217478201889,0.04712023055790597
