Config,Metric,Mean,Std
HH_only,Val Loss,0.36318084597587585,0.0439974351531501
HH_only,Val Acc,0.9417879462242127,0.02455513482096076
HH_only,Val Macro-F1,0.9417590361315666,0.024584656748259485
HH_only,Test Loss,0.3602338910102844,0.03593215060877271
HH_only,Test Acc,0.9450914978981018,0.016763263608115343
HH_only,Test Macro-F1,0.9450729259822379,0.016786954503139977
HL_HH,Val Loss,0.3411413073539734,0.04538380750753899
HL_HH,Val Acc,0.9525987505912781,0.02619048218586425
HL_HH,Val Macro-F1,0.9525733151135889,0.0262259105731452
HL_HH,Test Loss,0.34221936464309693,0.024463978648508695
HL_HH,Test Acc,0.959400987625122,0.012147552885884533
HL_HH,Test Macro-F1,0.9593974617652414,0.012149212618267659
HL_only,Val Loss,0.36174567341804503,0.09930677871357567
HL_only,Val Acc,0.939708948135376,0.05271817090642697
HL_only,Val Macro-F1,0.9393323321716924,0.053498171937272514
HL_only,Test Loss,0.3569048047065735,0.08037954341878617
HL_only,Test Acc,0.9460898399353027,0.042561217047603676
HL_only,Test Macro-F1,0.9459118823614979,0.042922065840000405
LH_HH,Val Loss,0.3516820967197418,0.04913785647159468
LH_HH,Val Acc,0.9496881484985351,0.02817797783795909
LH_HH,Val Macro-F1,0.9496732014999003,0.028190123331296415
LH_HH,Test Loss,0.36063793301582336,0.036199486311620926
LH_HH,Test Acc,0.9477537274360657,0.01414800034663725
LH_HH,Test Macro-F1,0.9477470567547405,0.01414793635253809
LH_HL,Val Loss,0.3481608867645264,0.07689514144945875
LH_HL,Val Acc,0.952598774433136,0.0360513593051409
LH_HL,Val Macro-F1,0.9525637013904472,0.03608450641062726
LH_HL,Test Loss,0.3652641773223877,0.07990839939845391
LH_HL,Test Acc,0.9460898399353027,0.03980499205755533
LH_HL,Test Macro-F1,0.9460891316027464,0.03980523949695186
LH_HL_HH,Val Loss,0.334427410364151,0.04964014294592049
LH_HL_HH,Val Acc,0.9575883507728576,0.03354222724566824
LH_HL_HH,Val Macro-F1,0.9575742241159275,0.03356412301650038
LH_HL_HH,Test Loss,0.34620887637138364,0.024286313032755198
LH_HL_HH,Test Acc,0.9597337722778321,0.013941016002243426
LH_HL_HH,Test Macro-F1,0.9597259145521286,0.01394462718355946
LH_only,Val Loss,0.33475948572158815,0.04047673159347197
LH_only,Val Acc,0.9567567706108093,0.022217132077117847
LH_only,Val Macro-F1,0.956746842637213,0.022218225610559392
LH_only,Test Loss,0.34869927167892456,0.03572011388615082
LH_only,Test Acc,0.9554076433181763,0.014854380321787576
LH_only,Test Macro-F1,0.9554058646243581,0.014855626870565509
