Config,Metric,Mean,Std,N_LEVELS
LH_only,Val Loss,0.49076730012893677,0.059810664504766464,7
LH_only,Val Acc,0.9396429061889648,0.02961675077676773,7
LH_only,Val Macro-F1,0.9371911287307739,0.032882459461688995,7
LH_only,Test Loss,0.658589243888855,0.05599144846200943,7
LH_only,Test Acc,0.8856250047683716,0.030872734263539314,7
LH_only,Test Macro-F1,0.8823962211608887,0.03319795802235603,7
HL_only,Val Loss,0.49284833669662476,0.04539301618933678,7
HL_only,Val Acc,0.9392856359481812,0.01978437788784504,7
HL_only,Val Macro-F1,0.9381200075149536,0.020073020830750465,7
HL_only,Test Loss,0.6488150358200073,0.04176469147205353,7
HL_only,Test Acc,0.8857499957084656,0.019240448251366615,7
HL_only,Test Macro-F1,0.8827512860298157,0.02072053775191307,7
HH_only,Val Loss,0.8125931024551392,0.0925505980849266,7
HH_only,Val Acc,0.779285728931427,0.05303450673818588,7
HH_only,Val Macro-F1,0.7564322352409363,0.05918464809656143,7
HH_only,Test Loss,0.9769759178161621,0.0864415094256401,7
HH_only,Test Acc,0.7123750448226929,0.05760588124394417,7
HH_only,Test Macro-F1,0.6833705902099609,0.06777074933052063,7
LH_HL,Val Loss,0.4680604040622711,0.03923103213310242,7
LH_HL,Val Acc,0.9532142877578735,0.014894944615662098,7
LH_HL,Val Macro-F1,0.9523626565933228,0.015261543914675713,7
LH_HL,Test Loss,0.6352370977401733,0.0444549135863781,7
LH_HL,Test Acc,0.8964999318122864,0.021562952548265457,7
LH_HL,Test Macro-F1,0.893718421459198,0.022736653685569763,7
LH_HH,Val Loss,0.5111361742019653,0.0698000118136406,7
LH_HH,Val Acc,0.9307142496109009,0.03183508664369583,7
LH_HH,Val Macro-F1,0.9285281300544739,0.03301268815994263,7
LH_HH,Test Loss,0.6683090925216675,0.08480475842952728,7
LH_HH,Test Acc,0.877875030040741,0.04003562405705452,7
LH_HH,Test Macro-F1,0.8738535046577454,0.042837124317884445,7
HL_HH,Val Loss,0.4826900362968445,0.045613404363393784,7
HL_HH,Val Acc,0.9467857480049133,0.019030634313821793,7
HL_HH,Val Macro-F1,0.9454482793807983,0.020168423652648926,7
HL_HH,Test Loss,0.6439812183380127,0.04799756035208702,7
HL_HH,Test Acc,0.8962499499320984,0.020102299749851227,7
HL_HH,Test Macro-F1,0.8935635685920715,0.02109207957983017,7
LH_HL_HH,Val Loss,0.45630478858947754,0.023143576458096504,7
LH_HL_HH,Val Acc,0.9589285850524902,0.011912197805941105,7
LH_HL_HH,Val Macro-F1,0.9581437110900879,0.012219144962728024,7
LH_HL_HH,Test Loss,0.6107293963432312,0.014813097193837166,7
LH_HL_HH,Test Acc,0.9109999537467957,0.007572568487375975,7
LH_HL_HH,Test Macro-F1,0.9093046188354492,0.007845660671591759,7
