Ablation,Config,Mask,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE,N_LEVELS,Num Classes
A3_subband_L7_br35h,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",42,42,0.3116391897201538,0.9792099595069885,0.9792077324757062,0.33137962222099304,0.9667221307754517,0.9667109781765814,129.1320469379425,4.298216319084167,446.6969220406989,267606,multilevel_details,7,2
A3_subband_L7_br35h,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",43,43,0.47480982542037964,0.8877338767051697,0.8875584415584415,0.46102896332740784,0.8968386054039001,0.8968154630039876,73.04654169082642,4.860220336914063,395.0438183671073,267606,multilevel_details,7,2
A3_subband_L7_br35h,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",44,44,0.3533796966075897,0.9625779390335083,0.9625739184562714,0.3488331735134125,0.9683859944343567,0.9683856731921916,130.81629824638367,4.353667267163595,441.00751899004814,267606,multilevel_details,7,2
A3_subband_L7_br35h,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",45,45,0.3877755403518677,0.9459459185600281,0.9459176613042726,0.4183436930179596,0.9284525513648987,0.9284517866981177,100.69555711746216,4.568284002217379,420.2891061650413,267606,multilevel_details,7,2
A3_subband_L7_br35h,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",46,46,0.43810194730758667,0.9106029272079468,0.9104775425581184,0.41474649310112,0.9284525513648987,0.9284240438490321,127.64691734313965,4.248864905039469,451.88539596133955,267606,multilevel_details,7,2
A3_subband_L7_br35h,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",42,42,0.31136080622673035,0.975051999092102,0.9750492789708476,0.32474222779273987,0.9767054915428162,0.9767054263565891,127.92020583152771,4.257930461565653,450.9232871064809,267606,multilevel_details,7,2
A3_subband_L7_br35h,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",43,43,0.3726252019405365,0.939708948135376,0.9396828691391976,0.36660951375961304,0.9517470598220825,0.9517449506485596,129.48621582984924,4.309929927190145,445.4828807974942,267606,multilevel_details,7,2
A3_subband_L7_br35h,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",44,44,0.3523273468017578,0.9646569490432739,0.9646563536007122,0.355998158454895,0.960066556930542,0.9600655606990188,126.6652500629425,4.215983541806539,455.40974744348375,267606,multilevel_details,7,2
A3_subband_L7_br35h,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",45,45,0.3113962709903717,0.9854469895362854,0.9854467338355875,0.33112865686416626,0.9767054915428162,0.9767023303207514,127.71575474739075,4.250634113947551,451.697311161158,267606,multilevel_details,7,2
A3_subband_L7_br35h,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",46,46,0.37025704979896545,0.9417879581451416,0.9417756104309332,0.3559425175189972,0.960066556930542,0.9600611376927166,128.65562510490417,4.281881205240885,448.4010433661685,267606,multilevel_details,7,2
A3_subband_L7_br35h,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",42,42,0.29612526297569275,0.9854469895362854,0.9854459789491885,0.3184545636177063,0.9750415682792664,0.9750371742579687,124.17035579681396,4.275276726689832,449.09373655599035,267606,multilevel_details,7,2
A3_subband_L7_br35h,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",43,43,0.3390595316886902,0.9646569490432739,0.9646416819091849,0.3102031648159027,0.980033278465271,0.9800332225913622,127.7210144996643,4.251342900594076,451.62200389239416,267606,multilevel_details,7,2
A3_subband_L7_br35h,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",44,44,0.33473390340805054,0.9688149690628052,0.9688101156381714,0.33766138553619385,0.9667221307754517,0.9667213005825157,129.568288564682,4.31253035068512,445.21425795762224,267606,multilevel_details,7,2
A3_subband_L7_br35h,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",45,45,0.30550676584243774,0.9854469895362854,0.9854469854469855,0.3198142647743225,0.980033278465271,0.9800318958070304,131.07018756866455,4.361954307556152,440.16967272536783,267606,multilevel_details,7,2
A3_subband_L7_br35h,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",46,46,0.324424684047699,0.9708939790725708,0.9708938450899032,0.3157981038093567,0.9783693552017212,0.9783691448157099,142.3532931804657,4.7383880615234375,405.20108844413676,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",42,42,0.30199792981147766,0.9854469895362854,0.9854467338355875,0.32077690958976746,0.9783693552017212,0.9783672282751651,129.6340630054474,4.315055545171102,444.9537160995844,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",43,43,0.3603780269622803,0.9646569490432739,0.9646514643899275,0.38355752825737,0.9484192728996277,0.9483827175885522,128.4660439491272,4.275834727287292,449.03512938585936,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",44,44,0.32417917251586914,0.9708939790725708,0.9708908254659889,0.35056185722351074,0.9650582075119019,0.9650578493176853,128.5873601436615,4.280021723111471,448.5958539958547,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",45,45,0.337653249502182,0.9708939790725708,0.9708908254659889,0.3474475145339966,0.9683859944343567,0.9683856731921916,128.82808446884155,4.28816667397817,447.74379028947567,267606,multilevel_details,7,2
