Config,Metric,Mean,Std,N_LEVELS
LH_only,Val Loss,0.33643803000450134,0.04710712283849716,7
LH_only,Val Acc,0.9659043550491333,0.029861021786928177,7
LH_only,Val Macro-F1,0.965898871421814,0.029866378754377365,7
LH_only,Test Loss,0.348477303981781,0.043100759387016296,7
LH_only,Test Acc,0.9637271165847778,0.021992363035678864,7
LH_only,Test Macro-F1,0.9637244939804077,0.02199428156018257,7
HL_only,Val Loss,0.319970041513443,0.0185740664601326,7
HL_only,Val Acc,0.975051999092102,0.009751389734447002,7
HL_only,Val Macro-F1,0.9750477075576782,0.009755970910191536,7
HL_only,Test Loss,0.32038626074790955,0.010334834456443787,7
HL_only,Test Acc,0.9760398864746094,0.005593254696577787,7
HL_only,Test Macro-F1,0.9760385751724243,0.005593519192188978,7
HH_only,Val Loss,0.3931412100791931,0.06508374959230423,7
HH_only,Val Acc,0.9372140765190125,0.037548862397670746,7
HH_only,Val Macro-F1,0.9371470212936401,0.03762593865394592,7
HH_only,Test Loss,0.394866406917572,0.053557246923446655,7
HH_only,Test Acc,0.9377703666687012,0.030102215707302094,7
HH_only,Test Macro-F1,0.9377576112747192,0.03010958805680275,7
LH_HL,Val Loss,0.32998836040496826,0.02379470504820347,7
LH_HL,Val Acc,0.9717256426811218,0.011157099157571793,7
LH_HL,Val Macro-F1,0.9717229604721069,0.011158045381307602,7
LH_HL,Test Loss,0.3366449475288391,0.02035435475409031,7
LH_HL,Test Acc,0.9683860540390015,0.008804496377706528,7
LH_HL,Test Macro-F1,0.9683802723884583,0.00880619790405035,7
LH_HH,Val Loss,0.33648380637168884,0.024418434128165245,7
LH_HH,Val Acc,0.9692307710647583,0.01133008673787117,7
LH_HH,Val Macro-F1,0.9692283868789673,0.011330381967127323,7
LH_HH,Test Loss,0.3537643849849701,0.023385904729366302,7
LH_HH,Test Acc,0.9627286791801453,0.011975404806435108,7
LH_HH,Test Macro-F1,0.9627202749252319,0.011986196972429752,7
HL_HH,Val Loss,0.3435932993888855,0.03043711744248867,7
HL_HH,Val Acc,0.9613305926322937,0.02018881030380726,7
HL_HH,Val Macro-F1,0.9613221287727356,0.02019822597503662,7
HL_HH,Test Loss,0.34688419103622437,0.01797713339328766,7
HL_HH,Test Acc,0.9650582075119019,0.01116174552589655,7
HL_HH,Test Macro-F1,0.9650558233261108,0.011162248440086842,7
LH_HL_HH,Val Loss,0.3492729067802429,0.041310060769319534,7
LH_HL_HH,Val Acc,0.9646569490432739,0.02205115556716919,7
LH_HL_HH,Val Macro-F1,0.9646440744400024,0.022073039785027504,7
LH_HL_HH,Test Loss,0.3513888716697693,0.025972502306103706,7
LH_HL_HH,Test Acc,0.9627287983894348,0.013497043401002884,7
LH_HL_HH,Test Macro-F1,0.9627232551574707,0.013500138185918331,7
